MANDT,BILLINGDOCUMENTTYPE,LANGUAGE,BILLINGDOCUMENTTYPENAME
102,B1,1,回扣贷项凭证
102,B1,2,ใบลดหนี้เงินคืน
102,B1,3,리베이트 대변 메모
102,B1,4,Credit memo rabat
102,B1,5,Bonus dobropis
102,B1,6,Odobrenje rabata
102,B1,7,Memo Kredit Rebat
102,B1,8,Кредит.авізо бонуса
102,B1,9,Boonuse kreeditarve
102,B1,A,مذكرة دائن للخصم
102,B1,B,הודעת זיכוי הנחה
102,B1,C,Bonusový dobropis
102,B1,D,Bonusgutschrift
102,B1,E,Rebate Credit Memo
102,B1,F,Avoir ristourne
102,B1,G,Πιστ.Σημ.Εκπτ.Τζίρ.
102,B1,H,Bónuszjóváírás
102,B1,I,Accredito bonus
102,B1,J,リベートクレメモ
102,B1,K,Bonuskreditnota
102,B1,L,F.kor.min. rab.
102,B1,M,回扣貸項通知單
102,B1,N,Bonuscreditnota
102,B1,O,Kreditnota for bonus
102,B1,P,Nota crédito bônus
102,B1,Q,Bonusový dobropis
102,B1,R,КредитовАвизо бонуса
102,B1,S,Abono para rappel
102,B1,T,Prim alacak dekontu
102,B1,U,Bonushyvityslasku
102,B1,V,Kreditnota bonus
102,B1,W,Кр. авизо на рабата
102,B1,X,Nuol. kred. sąsk.
102,B1,Y,Bonusatlaides kredītrēķins
102,B1,c,Nota abonament ràpel
102,B1,d,Odobrenje bonusa
102,B1,묩,छूट क्रेडिट मेमो
102,B1,뱋,Бонуст.кред.авиз.
102,B1,쁩,Giấy ghicó c.khấu
102,B1E,1,免除回扣贷项通知
102,B1E,2,Exp.RebateCreditMemo
102,B1E,3,확장리베이트대변메모
102,B1E,4,Ext.CreditMemoRabat
102,B1E,5,Razširj. dobrop.bon.
102,B1E,6,Proš.obav.o odb.rab.
102,B1E,7,MemoKreditRebatDjgka
102,B1E,8,Розш.кред.авізо бон.
102,B1E,9,Eeld. boon. kredita
102,B1E,A,مذكرةدائن لخصم متوقع
102,B1E,B,הודע.זיכוי הנחה צפו.
102,B1E,C,Oček.dobrop.bonusu
102,B1E,D,Erw. Bonusgutschrift
102,B1E,E,Exp.RebateCreditMemo
102,B1E,F,Avoir lié à une ristourne ét.
102,B1E,G,Εξωτ.Πιστ.Σημ.Εκπτ.
102,B1E,H,Bőv.bónuszjóváírás
102,B1E,I,Ampl.: accr. bonus
102,B1E,J,拡張リベート Cr.メモ
102,B1E,K,Udv. bonuskreditnota
102,B1E,L,Ocz.fakt.kor.m.rab.
102,B1E,M,免除回扣貸項通知單
102,B1E,N,Verw. bonuscr.nota
102,B1E,O,Forv. kreditn./bonus
102,B1E,P,NotaCrédBônus prev.
102,B1E,Q,Rozš.bonus.dobropisu
102,B1E,R,Расш.КредАвизоБонуса
102,B1E,S,Abono p.rappel ampl.
102,B1E,T,Glştr.prim alck.dknt
102,B1E,U,Odot. bonushyv.lasku
102,B1E,V,Utök. KredNotaFBonus
102,B1E,W,Рабат-Кредитно авизо
102,B1E,X,Išr.nuol.kredit.paž.
102,B1E,Y,Izvērst bonusatlaides kredītrēķinu
102,B1E,c,Nota ampl.abon.ràpel
102,B1E,d,Prošir.odobr.bonusa
102,B1E,묩,अपे.छूटक्रेडिटमेमो
102,B1E,뱋,Бон.кеңейт.кр.авиз.
102,B1E,쁩,G.g.có c.k.mởrộng
102,B2,1,回扣更正
102,B2,2,ใบแก้ไขเงินคืน
102,B2,3,리베이트수정
102,B2,4,Corecţie rabat
102,B2,5,Korektura bonusa
102,B2,6,Ispravljanje rabata
102,B2,7,Pembetulan Rebat
